Index,Checked,Date,Channel Name,Youtube Link,Subscribers,Average views
,FALSE,June 22,Pixlriffs,youtube.com/c/Pixlriffs/about,755k,175.33k
,FALSE,June 22,Denis,https://www.youtube.com/c/DenisDaily/about,9.16m,140k
,FALSE,June 22,Zaypixel,https://www.youtube.com/c/Zaypixel/about,1.67m,125k
,FALSE,June 22,TrixyBlox,https://www.youtube.com/c/TrixyBlox/about,1.63m,2.5m
,FALSE,July 2,Moose,https://www.youtube.com/c/ItsMooseCraft/about,4.55m,136.67k
,FALSE,July 2,CaptainSparklez,https://www.youtube.com/c/CaptainSparklez/about,11.2m,139.5k
,FALSE,July 2,docm77,https://www.youtube.com/user/docm77/about,847k,235k
,FALSE,July 2,Roplex Gaming,https://www.youtube.com/channel/UC0iOj9jqaHPMSvspiswzoDw/about,471k,109.25k
,FALSE,July 2,iamSanna,https://www.youtube.com/c/iamSanna/about,6.22m,204.1k
,FALSE,July 2,FishyBlox,https://www.youtube.com/c/FishyBlox/about,657k,148.83k
,FALSE,July 2,HeyRosalina,youtube.com/c/HeyRosalina/about,260k,133.5k
,FALSE,July 2,Flamingo,https://www.youtube.com/c/flamingo/about,9.33m,1.283m
,FALSE,July 2,sebee,https://www.youtube.com/c/23Sebee/about,1.02m,371.25k
,FALSE,July 2,ItsFunneh,https://www.youtube.com/c/ItsFunneh/about,7.77m,1.196m
,FALSE,July 7,InquisitorMaster,https://www.youtube.com/c/InquisitorMaster/about,8.81m,935.5k
,FALSE,July 7,MyUsernamesThis,https://www.youtube.com/c/MyUsernamesThis/about,1.55m,128.67k
,FALSE,July 7,Bandites,youtube.com/c/BanditesGaming/about,651k,105.75k
,FALSE,July 7,Thinknoodles,https://www.youtube.com/c/thinknoodles/about,7.76m,133.25
,FALSE,July 7,CookieSwirlC,https://youtube.com/c/Cookieswirlc,15.9m,258.67k
,FALSE,July 7,Calixo - Roblox Adventures,https://youtube.com/c/Calixo,1.75m,463.5k
,FALSE,July 7,Gravycatman,https://youtube.com/c/gravycatman,2.35m,315k
,FALSE,July 7,John Roblox,https://youtube.com/c/GDILIVES,785k,277.33k
,FALSE,July 7,GamingwithKev,https://youtube.com/c/KevinEdwardsJr,7.63m,168.67k
,FALSE,July 11,3SB Games,https://www.youtube.com/c/3SBGames/videos,1.47m,209.5k
,FALSE,July 11,MrPankeyk,https://www.youtube.com/c/MrPankeyk/about,292k,145k
,FALSE,July 11,Leah Ashe,https://www.youtube.com/channel/UCyQVt6PHgeW2kmh7mYJfGdQ/about,4.8m,167.33k
,FALSE,July 11,Lani,https://www.youtube.com/c/LaniPlayz/about,740k,183.33k
,FALSE,July 11,Fanaticalight,https://www.youtube.com/c/Fanaticalight/about,226k,547k
,FALSE,July 11,Cari - Roblox,https://www.youtube.com/c/CariPlays/about,1.26m,134.33k
,FALSE,July 18,Jayingee,https://www.youtube.com/c/Jayingee/about,1.35m,469k
,FALSE,July 18,PurpleMatter,https://www.youtube.com/c/PurpleMatter/about,228k,2.231m
,FALSE,July 18,NiftySmith,https://www.youtube.com/channel/UC2nMei1X95Ns4UFnigxrexw/about,579k,152k
,FALSE,July 18,Ryguyrocky,https://www.youtube.com/c/ryguyrocky/about,"1,78m",216k
,FALSE,July 18,KreekCraft,https://www.youtube.com/c/KreekCraft/about,3.22m,328.57k
,FALSE,July 23,Sigils,https://www.youtube.com/c/SigilsPlaysGames/about,920k,295.86k
,FALSE,July 23,NotNico,https://www.youtube.com/c/NotNico/about,455k,404k
,FALSE,July 23,Zelk,https://www.youtube.com/channel/UCGq2GUrdg404SdV7Fw9p2GQ/about,277k,142k
,FALSE,July 23,PainDomination,https://www.youtube.com/user/PainDomination/about,183k,175k
,FALSE,July 23,MattShea,https://www.youtube.com/c/MattsheaTv/about,2.61m,104.25k
,FALSE,July 26,STA Studios,https://www.youtube.com/c/STAStudios/featured,908k,276k
,FALSE,July 26,Zud,https://www.youtube.com/c/Zud/about,75k,160.78k
,FALSE,July 26,LoafX,https://www.youtube.com/c/LoafX/about,224k,106k
,FALSE,July 26,Biffle,https://www.youtube.com/c/BiffleWiffle/about,848k,342k
,FALSE,July 26,AJ Animation,https://www.youtube.com/c/AbegiJoProduction/about,106k,164k
,FALSE,August 7,LazarBeam,https://www.youtube.com/c/LazarBeam/about,19m,2.2m
,FALSE,August 7,Dark Comers,https://www.youtube.com/c/DarkCornersTV/about,2.6m,268.25k
,FALSE,August 7,VuxVux,https://www.youtube.com/c/VuxVux/about,2.87m,242.33k
,FALSE,August 7,Swidge,https://www.youtube.com/channel/UCtk0kU821xb7Up6hgw0EPuw/about,177k,204k
,FALSE,August 7,Rektway,https://www.youtube.com/c/Rektway/about,250k,146.5k
,FALSE,August 7,FancySmash,https://www.youtube.com/c/FancySmash/videos,219k,286.71k
,FALSE,August 7,Hornstromp Toons,https://www.youtube.com/c/HornstrompToons/about,968k,2.5m
,FALSE,August 7,Joshemve,https://www.youtube.com/c/Joshemve/videos,407k,147k
,FALSE,August 7,Tewtiy,https://www.youtube.com/c/Tewtiy/videos,1.08m,156.67k
,FALSE,August 7,VanossGaming,https://www.youtube.com/user/VanossGaming/about,25.5m,825.5k
,FALSE,August 7,H2ODelirious,https://www.youtube.com/c/H2ODelirious/videos,13.3m,313.6k
,FALSE,August 7,CaptainJackAttack,https://www.youtube.com/c/CaptainJackAttack/about,131k,113.25k
,FALSE,August 7,Ivanosark,https://www.youtube.com/c/Ivanosark/about,3.34m,241k
,FALSE,August 7,Kwebbelkop,https://www.youtube.com/c/kwebbelkop/videos,14.7m,455.7k
,FALSE,August 7,Elanip,https://www.youtube.com/c/Elanip/about,2.23m,201.6k
,FALSE,August 7,Guilty,https://www.youtube.com/c/Guiltyy/about,215k,139k
,FALSE,August 7,LockDownLife,https://www.youtube.com/c/LockDownLife/about,416k,306k
,FALSE,August 7,Karl,https://www.youtube.com/channel/UCrYrcFGGs_nke1MggS8Jvqg/about,2.54m,495k
,FALSE,August 7,Craxel,https://www.youtube.com/c/Craxels/about,406k,646k
,FALSE,August 11,Sword4000,https://www.youtube.com/c/Sword4000/videos,197K,115K
,FALSE,August 11,HyperPlays - Roblox,https://www.youtube.com/channel/UCtzNUB8NNEyssCGa_JuTbBQ/about,553K,145.8K
,FALSE,August 11,Treyten,https://www.youtube.com/c/Treyten216/about,2.04M,602K
,FALSE,August 11,FuriousFade,https://www.youtube.com/c/FuriousFade/about,1.56M,211K
,FALSE,August 11,Bay Area Buggs,https://www.youtube.com/c/Bayareabuggs/about,2.4M,157K
,FALSE,August 11,XpertThief,https://www.youtube.com/user/XpertThief/about,5.76M,190K
,FALSE,August 11,Zetro,https://www.youtube.com/c/ZetroYT/about,132K,147K
,FALSE,August 11,MLGLOL80,https://www.youtube.com/c/MLGLOL80/about,274K,155K
